TIMESTAMP_START,TIMESTAMP_END,DTime,FC
200401020000,200401020030,2.021,-9999
200401020030,200401020100,2.042,-9999
200401020100,200401020130,2.062,-9999
200408201230,200408201300,232.542,-21.3732744569055
200408201300,200408201330,232.562,-20.1403909905454
200408201330,200408201400,232.583,-16.5392650875715
200408201400,200408201430,232.604,-17.9805334270968
200408201430,200408201500,232.625,-19.4357359610239
200408201500,200408201530,232.646,-14.1849355883118
200408201530,200408201600,232.667,-15.4342910271564
200408201600,200408201630,232.688,-18.4037786859702
200412312130,200412312200,365.917,0.541561529008013
200412312200,200412312230,365.938,-0.22830460785967
200412312230,200412312300,365.958,0.0201215090034235
200412312300,200412312330,365.979,-0.0230464666151227
200412312330,200701010000,366,-0.281871464710228
