Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,-2.36,0,1.68,0,1.86,0,2.22,0,0.00,40.72,-0.98,0,1.77,3,99,96,1.073,1.068,0.819,1,0.253,0.825,1,0.243,0.608,1,0.465,0.981,1,0.087
1,1,1.0,1.042,-1.88,0,1.70,0,1.86,0,2.22,0,0.00,40.74,-19.71,0,1.54,3,96,96,1.073,1.069,0.819,1,0.254,0.825,1,0.243,0.609,1,0.464,0.984,1,0.085
1,1,1.5,1.063,-1.69,0,1.90,0,2.08,0,2.22,0,0.00,40.69,-48.28,0,1.55,3,64,64,1.078,1.073,0.819,1,0.259,0.825,1,0.247,0.609,1,0.469,1.032,1,0.040
1,1,2.0,1.083,-1.93,0,2.10,0,2.21,0,2.22,0,0.00,40.85,-148.02,0,1.39,3,0,0,1.084,1.077,1.799,0,-0.715,1.802,0,-0.726,1.799,0,-0.715,1.802,0,-0.726
1,1,2.5,1.104,-2.10,0,2.08,0,2.23,0,2.22,0,0.00,40.84,-108.98,0,1.45,3,0,0,1.083,1.076,1.878,0,-0.795,1.864,0,-0.787,1.878,0,-0.795,1.864,0,-0.787
1,1,3.0,1.125,-2.51,0,1.75,0,2.05,0,2.22,0,0.00,40.84,-52.40,0,1.60,3,0,0,1.075,1.070,2.011,0,-0.936,1.980,0,-0.910,2.011,0,-0.936,1.980,0,-0.910
12,31,22.0,366.917,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-3.46,0,0.37,0,96,96,0.737,0.723,0.684,2,0.053,0.584,2,0.140,0.721,3,0.016,0.654,3,0.069
12,31,22.5,366.938,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-10.20,0,0.28,0,96,96,0.735,0.722,0.544,2,0.192,0.544,2,0.178,0.317,3,0.418,0.311,3,0.411
12,31,23.0,366.958,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-5.46,0,2.10,0,96,96,0.735,0.722,0.531,2,0.204,0.536,2,0.186,0.056,3,0.679,0.091,3,0.631
12,31,23.5,366.979,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-23.84,0,0.73,0,352,352,0.739,0.725,0.485,2,0.254,0.491,2,0.234,0.045,3,0.694,0.052,3,0.673
1,1,0.0,367.000,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999,-9999.00,-9999.00,-3.19,0,4.69,0,96,96,0.719,0.710,0.203,3,0.516,0.222,3,0.488,0.352,3,0.367,0.425,3,0.285
